Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,Style
20412,20.82,1.072,1.02,6.88,42.41,34.13,22.71,60,1.0659999999999998,65.0,1.75,Specific Gravity,All Grain,1.25,19.44,American Stout
20413,22.71,1.061,1.0170000000000001,5.75,105.35,8.34,26.5,60,1.052,55.0,,Specific Gravity,BIAB,,18.89,American IPA
20414,60.0,1.064,1.011,7.03,39.11,18.24,70.0,60,1.055,70.0,3.8888,Specific Gravity,All Grain,,22.0,American Amber Ale
20415,10.0,1.062,1.016,6.12,32.68,7.3,12.0,60,1.052,35.0,,Specific Gravity,extract,,,American Light Lager
20416,24.61,1.036,1.0070000000000001,3.83,15.33,6.42,30.28,90,1.03,80.0,,Specific Gravity,All Grain,0.75,18.89,American Pale Ale
20417,43.53,1.047,1.011,4.7,15.98,3.56,49.21,60,1.042,65.0,1.25,Specific Gravity,All Grain,0.35,,Witbier
20418,20.82,1.088,1.024,8.34,161.11,12.35,28.39,90,1.064,70.0,1.5,Specific Gravity,All Grain,,,Imperial IPA
20419,20.82,1.071,1.018,6.96,81.68,39.58,26.5,60,1.056,75.0,1.5,Specific Gravity,All Grain,,,American Stout
20420,50.0,1.044,1.011,4.32,9.34,2.64,55.0,60,1.04,70.0,3.0,Specific Gravity,All Grain,,19.0,American Light Lager
20421,20.82,1.056,1.016,5.2,46.37,12.45,28.39,60,1.041,70.0,1.5,Specific Gravity,All Grain,,20.0,American Pale Ale
20422,18.93,1.055,1.012,5.74,34.51,3.68,11.36,60,1.092,35.0,,Specific Gravity,extract,0.35,21.11,Saison
20423,28.0,1.058,1.0090000000000001,6.47,32.11,16.01,32.0,75,1.044,72.0,4.0,Specific Gravity,All Grain,,17.0,Irish Red Ale
20424,10.0,1.04,1.01,3.94,15.74,2.98,14.0,60,1.028,70.0,,Specific Gravity,BIAB,,18.0,Blonde Ale
20425,22.0,1.056,1.01,6.06,39.39,9.01,35.0,60,1.035,68.0,,Specific Gravity,BIAB,,20.0,American Pale Ale
20426,20.82,1.065,1.02,5.91,95.09,10.76,11.36,90,1.12,70.0,,Specific Gravity,Partial Mash,0.35,21.11,American IPA
20427,12.0,1.082,1.023,7.73,106.77,15.42,16.0,90,1.061,75.0,2.0,Specific Gravity,All Grain,,20.0,Imperial IPA
20428,3.79,1.064,1.012,6.75,81.14,11.26,5.68,60,1.042,70.0,1.5,Specific Gravity,All Grain,,,American IPA
20429,24.0,1.053,1.013,5.24,59.08,6.68,26.0,60,1.0490000000000002,73.0,,Specific Gravity,BIAB,,18.0,American IPA
20430,20.82,1.058,1.011,6.22,80.71,5.39,26.5,60,1.046,70.0,1.25,Specific Gravity,All Grain,,,American IPA
20431,22.71,1.064,1.013,6.68,75.55,5.89,32.18,60,1.045,70.0,1.25,Specific Gravity,All Grain,0.75,18.33,Imperial IPA
20432,20.82,1.025,1.006,2.46,66.3,7.8,28.39,60,1.018,35.0,1.5,Specific Gravity,All Grain,0.35,18.33,Irish Red Ale
20433,18.93,1.0590000000000002,1.016,5.71,23.08,20.19,28.39,90,1.0390000000000001,73.0,,Specific Gravity,BIAB,,18.89,Irish Red Ale
20434,38.0,1.055,1.014,5.42,27.22,15.23,45.0,60,1.047,70.0,1.25,Specific Gravity,All Grain,0.75,20.0,American Amber Ale
20435,22.71,1.0590000000000002,1.013,5.95,61.57,6.35,28.39,60,1.047,70.0,1.25,Specific Gravity,All Grain,0.35,20.0,American IPA
20436,22.71,1.055,1.014,5.42,33.65,5.93,25.74,60,1.0490000000000002,73.0,1.4,Specific Gravity,All Grain,0.35,18.33,American Pale Ale
20437,23.0,1.047,1.008,5.09,95.06,5.48,31.0,75,1.035,68.0,2.5,Specific Gravity,All Grain,0.35,18.0,American IPA
20438,21.0,1.074,1.014,7.86,100.55,5.06,27.0,60,1.058,65.0,3.0,Specific Gravity,All Grain,,,American IPA
20439,18.0,1.047,1.012,4.6,37.59,4.52,23.0,60,1.037,65.0,3.0,Specific Gravity,All Grain,,,American Light Lager
20440,22.71,1.061,1.015,5.97,49.83,4.91,26.5,60,1.052,80.0,,Specific Gravity,All Grain,,,Saison
20441,18.93,1.062,1.0170000000000001,5.89,37.78,7.82,26.5,60,1.044,75.0,1.5,Specific Gravity,All Grain,,,American Pale Ale
20442,20.82,1.067,1.013,7.16,117.62,4.57,28.39,60,1.0490000000000002,70.0,2.5,Specific Gravity,All Grain,0.35,18.33,American IPA
20443,80.0,1.055,1.011,5.78,22.21,3.74,100.0,60,1.044,70.0,3.0,Specific Gravity,All Grain,,30.0,Blonde Ale
20444,18.93,1.087,1.022,8.55,117.11,4.74,28.39,90,1.058,70.0,1.25,Specific Gravity,All Grain,,20.0,Imperial IPA
20445,18.93,1.072,1.02,7.22,41.59,36.33,28.39,60,,77.0,,Specific Gravity,All Grain,,,American Stout
20446,20.82,1.065,1.0170000000000001,6.32,44.27,8.88,26.5,60,1.051,70.0,1.5,Specific Gravity,All Grain,0.75,20.0,American IPA
20447,20.82,1.068,1.015,6.91,96.86,5.43,29.34,60,1.048,75.0,1.33,Specific Gravity,All Grain,1.0,20.0,American IPA
20448,20.82,1.067,1.018,6.5,54.28,3.72,28.39,90,1.0490000000000002,75.0,1.25,Specific Gravity,All Grain,,,American IPA
20449,18.93,1.057,1.011,5.97,39.03,3.5,15.14,60,1.071,72.0,,Specific Gravity,extract,0.75,18.33,Saison
20450,10.41,1.056,1.012,5.68,26.01,4.08,15.14,60,1.038,70.0,1.5,Specific Gravity,All Grain,0.75,15.56,American IPA
20451,20.82,1.05,1.013,4.89,122.36,4.78,26.5,60,1.04,75.0,1.5,Specific Gravity,All Grain,0.35,20.0,American Pale Ale
20452,11.36,1.0490000000000002,1.012,4.82,0.0,3.97,13.25,60,1.042,38.0,,Specific Gravity,extract,,,American Light Lager
20453,23.0,1.052,1.0090000000000001,5.6,28.34,5.29,23.0,60,1.052,73.0,3.0,Specific Gravity,All Grain,0.35,18.0,American Pale Ale
20454,20.82,1.062,1.016,6.02,96.14,6.4,28.39,60,1.045,75.0,,Specific Gravity,BIAB,,16.67,American IPA
20455,20.82,1.062,1.016,6.01,94.42,39.22,28.39,60,1.046,70.0,1.5,Specific Gravity,All Grain,0.75,21.11,American Amber Ale
20456,13.25,1.077,1.013,8.42,294.16,5.85,19.87,90,1.045,73.0,1.579,Specific Gravity,All Grain,,,Imperial IPA
20457,20.82,1.052,1.013,5.08,48.04,34.11,11.36,60,1.095,35.0,,Specific Gravity,extract,,,American Stout
20458,35.96,1.045,1.011,4.49,20.95,5.81,44.48,60,1.036,75.0,1.35,Specific Gravity,All Grain,,,Blonde Ale
20459,28.0,1.0290000000000001,1.0070000000000001,2.9,20.76,12.57,28.5,90,1.0290000000000001,35.0,3.0,Specific Gravity,All Grain,,,Imperial IPA
20460,23.0,1.054,1.01,5.74,23.86,12.72,26.0,60,1.048,76.0,3.0,Specific Gravity,All Grain,,,American Amber Ale
20461,1408.17,1.063,1.011,6.79,71.26,4.63,1472.53,90,1.06,85.0,1.5,Specific Gravity,All Grain,1.25,18.89,American IPA
20462,37.85,1.053,1.011,5.43,25.11,5.09,45.42,60,1.044,72.0,1.5,Specific Gravity,All Grain,,20.56,Saison
20463,22.0,1.07,1.015,7.12,99.33,7.14,24.0,15,1.064,35.0,,Specific Gravity,extract,,19.0,American IPA
20464,8.52,1.073,1.012,7.92,76.83,6.33,11.36,60,1.054,75.0,,Specific Gravity,BIAB,,20.56,American IPA
20465,22.0,1.052,1.013,5.11,40.49,8.82,25.0,60,1.046,75.0,3.0,Specific Gravity,All Grain,0.35,20.0,American Pale Ale
20466,24.0,1.051,1.0090000000000001,5.44,35.01,11.02,28.0,60,1.043,80.0,2.5,Specific Gravity,All Grain,0.75,19.0,American Amber Ale
20467,475.0,14.7309,3.8234199999999996,5.9,23.94,9.91,550.0,60,12.8,75.0,,Plato,All Grain,,20.0,American Amber Ale
20468,5.0,1.063,1.011,6.84,55.96,7.16,8.5,60,1.037,75.0,2.5,Specific Gravity,All Grain,0.35,19.0,American Pale Ale
20469,22.71,1.0659999999999998,1.008,7.51,88.84,5.17,30.28,60,1.0490000000000002,74.0,1.45,Specific Gravity,All Grain,1.0,18.89,American IPA
20470,10.0,1.052,1.01,5.62,67.7,11.72,17.5,60,1.03,70.0,,Specific Gravity,BIAB,,21.0,American Pale Ale
20471,20.82,1.06,1.014,5.98,30.27,5.54,28.39,60,1.044,75.0,1.8769999999999998,Specific Gravity,All Grain,1.0,18.89,Saison
20472,90.0,14.8563,2.75718,6.53,42.21,8.12,90.0,60,14.9,85.0,3.0,Plato,All Grain,,,American IPA
20473,25.0,1.057,1.01,6.2,61.74,9.08,34.0,60,1.042,75.0,,Specific Gravity,BIAB,0.35,18.0,American IPA
20474,20.33,1.084,1.021,8.28,106.39,6.82,12.3,60,1.095,70.0,,Specific Gravity,Partial Mash,,20.0,Imperial IPA
20475,16.09,1.056,1.014,5.5,59.76,10.92,22.71,90,1.04,65.0,,Specific Gravity,BIAB,0.75,19.44,American Amber Ale
20476,21.0,1.064,1.021,5.69,39.64,10.06,15.0,60,1.09,25.0,,Specific Gravity,extract,,20.0,American Amber Ale
20477,20.82,1.055,1.0090000000000001,6.0,68.36,6.8,26.5,60,1.043,72.0,1.25,Specific Gravity,All Grain,0.35,20.0,American IPA
20478,37.85,1.0759999999999998,1.018,7.61,16.76,32.87,45.42,60,1.063,80.0,2.0,Specific Gravity,All Grain,1.0,20.0,American Stout
20479,23.0,1.052,1.013,5.09,50.61,5.56,28.5,30,1.042,75.0,,Specific Gravity,BIAB,,,American Pale Ale
20480,37.85,1.048,1.011,4.95,18.01,3.87,49.21,75,1.037,65.0,1.5,Specific Gravity,All Grain,1.0,18.89,Witbier
20481,26.5,1.062,1.012,6.63,144.49,3.97,18.93,60,1.087,70.0,,Specific Gravity,Partial Mash,0.35,20.0,American IPA
20482,10.0,1.056,1.011,5.91,39.94,10.44,12.0,60,1.046,35.0,,Specific Gravity,extract,,20.0,American Pale Ale
20483,25.0,1.0659999999999998,1.018,6.31,64.62,4.57,28.0,60,1.0590000000000002,75.0,2.6,Specific Gravity,All Grain,1.0,19.0,American IPA
20484,10.0,1.057,1.012,5.79,39.24,7.76,10.0,60,1.057,63.0,,Specific Gravity,All Grain,,20.0,American Pale Ale
20485,20.82,1.07,1.0170000000000001,6.93,71.6,7.18,24.61,60,1.0590000000000002,70.0,,Specific Gravity,All Grain,,18.89,American IPA
20486,20.82,1.085,1.015,9.18,109.44,6.98,28.39,60,1.062,70.0,1.5,Specific Gravity,All Grain,,21.11,Imperial IPA
20487,20.82,1.05,1.015,4.7,38.84,35.05,28.39,90,1.037,68.0,3.1,Specific Gravity,All Grain,,21.11,American Light Lager
20488,19.5,15.5993,4.0583800000000005,6.27,55.87,17.27,24.0,90,12.8,70.0,3.0,Plato,All Grain,,,American Amber Ale
20489,270.0,1.067,1.014,7.02,26.18,21.57,300.0,60,1.061,72.0,3.0,Specific Gravity,All Grain,1.25,20.0,American Brown Ale
20490,19.87,1.06,1.014,6.01,41.92,17.62,24.61,60,1.048,35.0,,Specific Gravity,Partial Mash,,,American Amber Ale
20491,32.0,1.051,1.008,5.57,28.98,4.08,35.0,80,1.047,70.0,2.7,Specific Gravity,All Grain,,18.0,American Pale Ale
20492,20.82,1.06,1.0190000000000001,5.3,38.3,22.14,24.61,60,1.05,74.0,1.33,Specific Gravity,All Grain,0.75,19.44,American Brown Ale
20493,60.0,1.065,1.02,5.99,38.24,8.75,78.0,60,1.05,75.0,2.25,Specific Gravity,All Grain,0.75,18.0,American IPA
20494,18.93,1.052,1.014,4.87,20.15,4.29,11.36,60,,35.0,,Specific Gravity,extract,,15.56,American Amber Ale
20495,20.82,1.064,1.016,6.27,40.82,9.16,24.61,60,1.054,65.0,1.25,Specific Gravity,All Grain,,,American IPA
20496,20.82,1.0490000000000002,1.013,4.68,19.79,4.73,27.63,60,1.037,70.0,1.25,Specific Gravity,All Grain,,20.0,Blonde Ale
20497,50.0,1.047,1.01,4.89,24.37,3.63,55.0,90,1.043,73.0,,Specific Gravity,All Grain,,18.0,Blonde Ale
20498,24.0,1.048,1.011,4.81,23.77,8.24,32.0,90,1.036,83.0,3.0,Specific Gravity,All Grain,,20.0,Blonde Ale
20499,18.93,1.052,1.014,5.07,39.31,12.36,28.39,60,1.035,70.0,1.25,Specific Gravity,All Grain,,,American Amber Ale
20500,15.0,1.048,1.011,4.74,30.12,11.13,20.0,60,1.036,60.0,3.1,Specific Gravity,All Grain,,,Blonde Ale
20501,20.82,1.063,1.015,6.32,102.91,4.6,28.39,60,1.046,70.0,1.25,Specific Gravity,All Grain,0.35,20.0,American IPA
20502,30.0,1.088,1.02,8.88,34.4,13.06,28.5,60,1.093,35.0,3.1,Specific Gravity,All Grain,,,American Light Lager
20503,23.0,1.0590000000000002,1.016,5.54,63.55,7.08,28.99,60,1.047,70.0,3.0,Specific Gravity,All Grain,1.0,20.0,American IPA
20504,44.0,1.07,1.018,7.16,87.3,13.68,52.0,60,1.0590000000000002,75.0,2.6,Specific Gravity,All Grain,,,Imperial IPA
20505,21.0,1.078,1.022,7.38,73.91,37.7,28.5,60,1.058,85.0,,Specific Gravity,BIAB,,,American IPA
20506,27.0,1.046,1.012,4.54,20.88,3.01,12.0,60,1.104,35.0,,Specific Gravity,extract,,,American Light Lager
20507,37.85,1.067,1.012,7.22,69.99,10.33,49.21,60,1.052,75.0,,Specific Gravity,All Grain,,,American IPA
20508,20.82,1.062,1.013,6.44,54.24,10.42,33.31,90,1.0390000000000001,70.0,1.5,Specific Gravity,All Grain,0.5,21.11,American IPA
20509,21.0,1.057,1.014,5.64,38.89,5.42,28.5,60,1.042,70.0,3.0,Specific Gravity,All Grain,,,American Pale Ale
20510,18.93,1.058,1.0190000000000001,5.1,13.6,5.08,11.36,45,1.0959999999999999,35.0,,Specific Gravity,Partial Mash,,18.33,American Pale Ale
20511,20.0,1.064,1.014,6.54,42.06,20.91,25.0,90,1.051,69.0,3.0,Specific Gravity,All Grain,1.0,17.0,American Brown Ale
20512,18.93,1.0490000000000002,1.0090000000000001,5.23,27.24,15.03,22.71,60,1.041,35.0,,Specific Gravity,extract,0.75,16.67,American Amber Ale
20513,21.0,1.068,1.013,7.19,10.39,4.92,28.5,60,1.05,75.0,3.0,Specific Gravity,All Grain,,,American Light Lager
20514,20.82,1.038,1.0070000000000001,4.05,23.19,7.24,13.25,60,1.06,35.0,,Specific Gravity,extract,0.35,20.0,Irish Red Ale
20515,20.82,1.056,1.01,6.11,41.86,8.48,28.39,60,1.041,79.0,,Specific Gravity,All Grain,,,American IPA
20516,19.0,1.062,1.011,6.64,60.12,9.15,32.0,45,1.037,70.0,3.0,Specific Gravity,All Grain,,17.0,American Pale Ale
20517,20.0,1.05,1.008,5.46,48.73,4.04,22.0,90,1.045,70.0,2.5,Specific Gravity,All Grain,0.5,19.0,American Pale Ale
20518,20.82,1.063,1.016,6.21,59.99,6.16,28.39,60,1.046,70.0,,Specific Gravity,All Grain,,,American IPA
20519,18.93,1.07,1.01,7.86,0.0,3.0,26.5,75,,65.0,,Specific Gravity,All Grain,,,Saison
20520,11.36,1.07,1.0170000000000001,6.93,32.26,10.77,26.5,60,1.03,60.0,,Specific Gravity,All Grain,,20.0,American IPA
20521,49.21,1.074,1.018,7.42,70.11,12.79,70.03,60,1.052,69.0,1.5,Specific Gravity,All Grain,,19.44,American IPA
20522,28.0,1.064,1.01,7.19,116.42,3.51,33.0,60,1.055,64.0,4.0,Specific Gravity,All Grain,,18.0,American IPA
20523,10.41,1.0590000000000002,1.0170000000000001,5.45,54.56,5.01,15.14,60,1.04,70.0,,Specific Gravity,BIAB,0.35,21.11,American IPA
20524,37.85,1.0590000000000002,1.018,5.44,32.32,9.69,45.42,60,1.0490000000000002,75.0,1.75,Specific Gravity,All Grain,0.35,23.89,American Pale Ale
20525,23.0,1.051,1.012,5.16,40.04,5.39,27.0,60,1.043,75.0,,Specific Gravity,All Grain,,19.0,American Pale Ale
20526,18.93,1.07,1.0170000000000001,6.85,81.15,8.85,11.36,60,1.1159999999999999,35.0,,Specific Gravity,extract,,18.33,American IPA
20527,18.93,1.0659999999999998,1.012,7.07,0.0,8.96,18.93,60,,75.0,,Specific Gravity,Partial Mash,,,American IPA
20528,22.71,1.06,1.015,5.96,49.05,4.9,28.39,60,1.048,70.0,1.5,Specific Gravity,All Grain,,,American IPA
20529,18.93,1.06,1.013,6.19,18.86,5.97,9.46,60,1.121,35.0,,Specific Gravity,extract,0.75,24.44,Saison
20530,11.36,1.051,1.01,5.42,20.85,5.34,11.36,60,1.0490000000000002,75.0,,Specific Gravity,BIAB,,23.89,Saison
20531,20.82,1.071,1.018,7.31,69.45,6.42,24.61,60,1.06,70.0,1.33,Specific Gravity,All Grain,,20.0,American IPA
20532,18.93,1.064,1.015,6.44,69.86,40.0,11.36,60,1.107,75.0,,Specific Gravity,Partial Mash,,11.11,American IPA
20533,21.0,1.06,1.014,5.94,19.0,4.6,28.0,60,1.045,79.0,,Specific Gravity,BIAB,0.35,17.5,Witbier
20534,22.71,1.052,1.01,5.56,35.98,12.9,28.66,60,1.041,80.0,,Specific Gravity,BIAB,0.5,17.78,American Amber Ale
20535,20.82,1.0590000000000002,1.014,5.96,51.12,5.25,22.71,60,1.044,75.0,,Specific Gravity,extract,0.35,22.22,American Pale Ale
20536,18.93,1.062,1.015,6.08,30.53,24.46,18.93,60,1.062,75.0,1.5,Specific Gravity,All Grain,,23.89,American Brown Ale
20537,378.54,1.058,1.014,5.75,22.79,3.66,416.4,60,1.053,75.0,1.5,Specific Gravity,All Grain,,,Saison
20538,20.8,1.071,1.0190000000000001,6.83,99.37,6.92,28.4,60,1.052,63.0,3.1,Specific Gravity,All Grain,0.75,24.0,American Pale Ale
20539,20.82,1.088,1.024,8.44,12.13,29.99,11.36,60,,70.0,,Specific Gravity,extract,,,American Stout
20540,25.0,1.048,1.011,4.87,20.58,3.21,28.5,60,1.042,70.0,1.5,Specific Gravity,All Grain,,20.0,Blonde Ale
20541,340.69,1.073,1.014,7.79,72.2,7.62,416.4,60,1.06,75.0,1.5,Specific Gravity,All Grain,,20.0,American IPA
20542,45.42,1.065,1.016,6.39,120.34,7.46,53.0,90,,70.0,,Specific Gravity,All Grain,,,American IPA
20543,20.82,1.067,1.021,6.1,70.59,6.78,28.39,60,1.0490000000000002,70.0,1.42,Specific Gravity,All Grain,1.0,21.11,American IPA
20544,25.0,1.04,1.0070000000000001,4.39,38.02,6.7,28.5,90,1.035,65.0,3.0,Specific Gravity,All Grain,0.75,18.0,American Pale Ale
20545,20.82,1.068,1.0190000000000001,6.44,67.8,13.52,11.36,75,1.09,35.0,,Specific Gravity,extract,,,American IPA
20546,30.28,1.061,1.014,6.15,14.06,4.81,28.39,90,1.065,80.0,1.5,Specific Gravity,All Grain,,,Witbier
20547,19.68,1.063,1.014,6.43,0.0,12.7,23.09,60,,65.0,,Specific Gravity,All Grain,,,American Amber Ale
20548,18.93,1.056,1.011,5.86,33.19,5.9,11.36,60,1.093,35.0,,Specific Gravity,extract,2.0,,Saison
20549,18.93,1.063,1.016,6.07,59.02,8.99,24.08,60,1.0490000000000002,70.0,1.25,Specific Gravity,All Grain,,,American IPA
20550,20.82,1.054,1.015,5.08,20.14,4.16,28.39,60,1.0390000000000001,70.0,1.5,Specific Gravity,All Grain,0.5,20.0,Blonde Ale
20551,25.0,1.069,1.018,6.69,64.48,6.92,40.0,60,1.043,70.0,,Specific Gravity,All Grain,0.75,18.0,American IPA
20552,20.82,1.0659999999999998,1.0190000000000001,6.19,49.77,33.11,28.39,60,1.048,65.0,1.5,Specific Gravity,All Grain,0.75,20.0,American Stout
20553,821.43,1.058,1.014,5.69,46.19,6.93,829.01,60,1.057,75.0,1.5,Specific Gravity,All Grain,0.75,18.89,American Pale Ale
20554,11.0,1.053,1.011,5.51,23.29,18.58,11.0,60,1.053,55.0,,Specific Gravity,Partial Mash,0.35,13.0,Irish Red Ale
20555,41.64,1.056,1.014,5.48,57.05,8.03,49.21,60,1.047,80.0,1.5,Specific Gravity,All Grain,1.25,20.0,American IPA
20556,20.82,1.056,1.011,5.94,61.87,9.66,11.36,60,1.102,35.0,,Specific Gravity,extract,,15.56,American Pale Ale
20557,20.82,1.062,1.015,6.11,63.44,5.98,24.91,60,1.052,71.0,1.38,Specific Gravity,All Grain,,,American IPA
20558,18.93,1.061,1.014,6.1,84.3,4.34,24.61,60,1.047,75.0,1.5,Specific Gravity,All Grain,0.5,21.11,American IPA
20559,20.82,1.064,1.015,6.52,69.13,14.29,28.39,90,1.047,80.0,1.72,Specific Gravity,All Grain,0.35,21.11,American IPA
20560,18.93,1.0659999999999998,1.018,6.23,61.68,9.45,26.5,60,1.047,75.0,2.0,Specific Gravity,All Grain,,,American IPA
20561,18.93,1.051,1.0090000000000001,5.58,40.85,6.76,26.5,60,1.037,60.0,1.25,Specific Gravity,All Grain,,,American Pale Ale
20562,12.0,1.054,1.011,5.59,44.42,8.45,15.0,60,1.043,70.0,3.0,Specific Gravity,All Grain,,21.0,American Pale Ale
20563,48.0,1.06,1.01,6.82,73.52,9.42,54.0,90,1.054,66.0,4.0,Specific Gravity,All Grain,0.75,20.0,American IPA
20564,22.71,1.0759999999999998,1.012,8.44,259.62,6.33,28.39,90,1.061,80.0,,Specific Gravity,All Grain,0.35,20.0,American IPA
20565,20.0,1.061,1.015,6.03,0.0,5.49,28.4,60,1.043,62.0,3.1,Specific Gravity,All Grain,,,American Light Lager
20566,21.77,1.077,1.018,7.82,66.1,8.88,26.5,60,1.063,80.0,,Specific Gravity,BIAB,,19.44,American IPA
20567,20.82,1.053,1.012,5.42,56.22,5.06,28.39,90,1.0390000000000001,75.0,1.75,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
20568,22.71,1.044,1.0090000000000001,4.55,38.79,12.96,18.93,40,1.052,67.0,,Specific Gravity,Partial Mash,,20.0,American Amber Ale
20569,43.53,1.0490000000000002,1.014,4.63,29.31,17.63,49.21,60,1.044,70.0,1.75,Specific Gravity,All Grain,1.25,19.44,Irish Red Ale
20570,15.0,1.024,1.0070000000000001,2.3,34.07,2.89,10.0,60,1.037,35.0,,Specific Gravity,extract,0.35,17.0,American IPA
20571,43.0,1.0490000000000002,1.008,5.39,32.06,9.73,50.0,70,1.042,68.0,5.0,Specific Gravity,All Grain,0.75,19.0,American Pale Ale
20572,18.93,1.0759999999999998,1.0190000000000001,7.5,112.22,8.64,28.39,60,1.051,70.0,1.5,Specific Gravity,All Grain,,20.0,Imperial IPA
20573,13.25,1.0490000000000002,1.011,4.95,37.36,8.95,17.98,60,1.036,70.0,1.5,Specific Gravity,All Grain,0.75,18.89,American Pale Ale
20574,21.0,1.057,1.014,5.67,34.98,15.52,28.5,60,1.042,70.0,3.0,Specific Gravity,All Grain,,,American Amber Ale
20575,18.93,1.055,1.015,5.23,101.57,5.15,22.71,60,1.046,35.0,,Specific Gravity,extract,0.35,16.67,American Light Lager
20576,24.61,1.052,1.013,5.06,34.82,14.74,28.39,60,1.045,70.0,1.8,Specific Gravity,All Grain,,18.33,American Amber Ale
20577,22.71,1.051,1.014,4.79,57.19,9.53,24.61,60,1.047,35.0,,Specific Gravity,extract,0.75,21.11,American Pale Ale
20578,20.06,1.088,1.0190000000000001,9.04,145.18,7.94,28.39,65,1.062,80.0,,Specific Gravity,All Grain,0.75,20.0,Imperial IPA
20579,41.64,1.056,1.011,5.99,81.92,5.41,53.0,90,1.044,78.0,1.5,Specific Gravity,All Grain,1.25,,American IPA
20580,18.93,1.058,1.015,5.67,20.2,5.46,22.71,60,1.0490000000000002,35.0,,Specific Gravity,extract,0.35,20.0,American Pale Ale
20581,3.79,1.056,1.011,5.89,31.03,7.58,7.57,60,1.028,70.0,2.5,Specific Gravity,All Grain,0.35,20.0,Blonde Ale
20582,20.82,1.05,1.008,5.45,43.95,5.01,17.03,60,1.061,70.0,1.25,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
20583,52.0,1.044,1.008,4.66,65.97,11.37,54.0,60,1.042,75.0,,Specific Gravity,All Grain,0.5,20.0,American IPA
20584,22.0,16.128,2.9645900000000003,7.14,69.36,5.36,29.0,60,12.4,65.0,3.0,Plato,All Grain,1.0,18.0,American IPA
20585,5.68,1.063,1.013,6.53,50.35,6.14,11.36,60,1.031,65.0,,Specific Gravity,BIAB,0.35,20.56,American IPA
20586,18.93,1.069,1.014,7.18,65.09,8.82,24.61,40,1.053,65.0,1.5,Specific Gravity,All Grain,,22.22,American IPA
20587,20.82,1.081,1.015,8.58,65.13,4.78,22.71,60,1.074,35.0,,Specific Gravity,extract,0.5,,Imperial IPA
20588,18.93,1.038,1.006,4.32,15.03,2.36,11.36,60,1.064,35.0,,Specific Gravity,extract,,,American Light Lager
20589,20.0,1.051,1.0090000000000001,5.61,34.1,5.73,26.0,60,1.0390000000000001,60.0,3.0,Specific Gravity,All Grain,0.75,21.0,American Pale Ale
20590,20.82,1.0390000000000001,1.011,3.76,35.77,4.43,26.5,120,1.031,70.0,1.4,Specific Gravity,All Grain,0.5,20.0,American Pale Ale
20591,21.0,1.053,1.012,5.43,40.06,4.33,30.0,75,1.037,81.0,3.0,Specific Gravity,All Grain,0.5,20.0,American Pale Ale
20592,18.93,1.061,1.012,6.46,41.77,9.98,22.71,60,1.051,65.0,,Specific Gravity,BIAB,,16.67,American Pale Ale
20593,23.09,1.0490000000000002,1.0070000000000001,5.59,17.13,7.66,24.61,60,1.046,75.0,1.5,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
20594,20.82,1.062,1.015,6.09,78.27,12.36,11.36,60,1.113,35.0,,Specific Gravity,extract,0.35,22.22,American IPA
20595,20.82,1.071,1.016,7.26,116.28,7.67,28.39,70,1.052,73.0,1.5,Specific Gravity,All Grain,0.35,20.0,American IPA
20596,18.93,1.042,1.006,4.72,13.83,2.23,9.46,60,1.084,35.0,,Specific Gravity,extract,,12.78,American Light Lager
20597,25.0,1.063,1.016,6.23,67.11,10.65,30.0,60,1.052,60.0,3.0,Specific Gravity,All Grain,,23.0,American Pale Ale
20598,40.0,1.07,1.013,7.48,57.02,5.1,50.0,60,1.056,70.0,,Specific Gravity,extract,,,American Light Lager
20599,23.0,1.046,1.013,4.38,34.87,3.31,28.0,60,1.038,75.0,3.5,Specific Gravity,All Grain,0.75,25.0,Saison
20600,20.82,1.045,1.0090000000000001,4.73,27.92,4.46,26.5,60,1.036,70.0,1.5,Specific Gravity,All Grain,0.35,,Saison
20601,45.0,1.044,1.012,4.28,25.09,4.76,53.0,60,1.037,75.0,2.9,Specific Gravity,All Grain,0.75,17.0,American Pale Ale
20602,45.42,1.065,1.016,6.37,0.0,5.35,52.62,60,1.056,90.0,,Specific Gravity,All Grain,,,American IPA
20603,55.0,1.0490000000000002,1.012,4.83,12.92,4.33,68.0,90,1.04,73.0,3.0,Specific Gravity,All Grain,0.75,20.0,American Light Lager
20604,20.0,1.052,1.011,5.29,49.6,20.19,23.0,60,1.045,65.0,,Specific Gravity,All Grain,,20.0,American Pale Ale
20605,20.82,1.0759999999999998,1.0190000000000001,7.46,265.12,5.96,28.39,60,1.055,70.0,1.5,Specific Gravity,All Grain,,,Imperial IPA
20606,21.0,16.4208,3.40709,7.07,59.23,43.92,28.5,60,12.3,60.0,3.0,Plato,All Grain,0.35,21.0,American Stout
20607,21.77,1.05,1.0090000000000001,5.39,34.97,3.26,30.28,75,1.036,75.0,1.24,Specific Gravity,All Grain,0.5,22.22,Saison
20608,20.82,1.073,1.021,6.83,74.17,7.35,20.82,60,1.073,70.0,1.5,Specific Gravity,All Grain,0.35,20.0,American IPA
